default	18:24:34.333460-0700	VNXNavigationApp	boringssl_context_evaluate_trust_async_external_block_invoke_3(1760) [C1.1.1.1:2][0x112650000] Returning from external verify block with result: true
default	18:24:34.333504-0700	VNXNavigationApp	boringssl_context_certificate_verify_callback(2000) [C1.1.1.1:2][0x112650000] Certificate verification result: OK
default	18:24:34.333785-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client read_server_finished
default	18:24:34.333839-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client send_end_of_early_data
default	18:24:34.333864-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client send_client_encrypted_extensions
default	18:24:34.333888-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client send_client_certificate
default	18:24:34.333914-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client complete_second_flight
default	18:24:34.334043-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client done
default	18:24:34.334156-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS client finish_client_handshake
default	18:24:34.334180-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS client done
default	18:24:34.334204-0700	VNXNavigationApp	boringssl_context_info_handler(2380) [C1.1.1.1:2][0x112650000] Client handshake done
default	18:24:34.334609-0700	VNXNavigationApp	nw_protocol_boringssl_signal_connected(755) [C1.1.1.1:2][0x112650000] TLS connected [version(0x0304) ciphersuite(TLS_AES_128_GCM_SHA256) group(0x001d) signature_alg(0x0403) alpn(h2) resumed(0) offered_ticket(0) false_started(0) ocsp_received(0) sct_received(0) connect_time(43ms) flight_time(29ms) rtt(27ms) write_stalls(0) read_stalls(7) pake(0x0000)]
default	18:24:34.334712-0700	VNXNavigationApp	nw_flow_connected [C1.1.1.1 IPv6#77ef6005.443 in_progress channel-flow (satisfied (Path is satisfied), viable, interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Output protocol connected (CFNetworkConnection-656660826)
default	18:24:34.334937-0700	VNXNavigationApp	[C1.1.1.1 IPv6#77ef6005.443 ready channel-flow (satisfied (Path is satisfied), viable, interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:child_finish_connect @0.104s
default	18:24:34.335181-0700	VNXNavigationApp	[C1.1.1 Hostname#7d26e336:443 ready resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:child_finish_connect @0.104s
default	18:24:34.335268-0700	VNXNavigationApp	[C1.1 Hostname#7d26e336:443 ready transform (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:child_finish_connect @0.105s
default	18:24:34.335791-0700	VNXNavigationApp	[C1.1.1.1 IPv6#77ef6005.443 ready channel-flow (satisfied (Path is satisfied), viable, interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:changed_viability @0.105s
default	18:24:34.335863-0700	VNXNavigationApp	[C1.1.1 Hostname#7d26e336:443 ready resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:changed_viability @0.105s
default	18:24:34.336119-0700	VNXNavigationApp	[C1.1 Hostname#7d26e336:443 ready transform (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:changed_viability @0.105s
default	18:24:34.336177-0700	VNXNavigationApp	nw_flow_connected [C1 IPv6#77ef6005.443 in_progress parent-flow (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Output protocol connected (endpoint_flow)
default	18:24:34.336318-0700	VNXNavigationApp	[C1 IPv6#77ef6005.443 ready parent-flow (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:finish_connect @0.105s
default	18:24:34.336508-0700	VNXNavigationApp	nw_connection_report_state_with_handler_on_nw_queue [C1] reporting state ready
default	18:24:34.336546-0700	VNXNavigationApp	[C1 IPv6#77ef6005.443 ready parent-flow (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:changed_viability @0.106s
default	18:24:34.336575-0700	VNXNavigationApp	nw_connection_send_viability_changed_on_nw_queue [C1] viability_changed_handler(true)
default	18:24:34.336604-0700	VNXNavigationApp	Connection 1: connected successfully
default	18:24:34.336630-0700	VNXNavigationApp	Connection 1: TLS handshake complete
default	18:24:34.336654-0700	VNXNavigationApp	Connection 1: ready C(N) E(N)
default	18:24:34.336769-0700	VNXNavigationApp	[C1] event: client:connection_reused @0.106s
default	18:24:34.336994-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> now using Connection 1
default	18:24:34.337254-0700	VNXNavigationApp	Connection 1: received viability advisory(Y)
default	18:24:34.337305-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> sent request, body S 110
default	18:24:34.476882-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> received response, status 200 content K
default	18:24:34.477648-0700	VNXNavigationApp	[0x109347300] activating connection: mach=true listener=false peer=false name=com.apple.trustd
default	18:24:34.490044-0700	VNXNavigationApp	[0x109347300] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
default	18:24:34.490204-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> done using Connection 1
default	18:24:34.490274-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> response ended
default	18:24:34.490386-0700	VNXNavigationApp	[C1] event: client:connection_idle @0.258s
default	18:24:34.490571-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> summary for task success {transaction_duration_ms=259, response_status=200, connection=1, protocol="h2", domain_lookup_duration_ms=36, connect_duration_ms=65, secure_connection_duration_ms=43, private_relay=false, request_start_ms=107, request_duration_ms=0, response_start_ms=247, response_duration_ms=11, request_bytes=453, request_throughput_kbps=2648, response_bytes=1511, response_throughput_kbps=125, cache_hit=false}
default	18:24:34.491321-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> finished successfully
default	18:24:34.491460-0700	VNXNavigationApp	Ending background task with UIBackgroundTaskIdentifier: 2
